Time	Pressure
(-)	(bara)
31.07.2015 09:48:12	296.0997314
31.07.2015 09:48:16	296.1104126
31.07.2015 09:48:21	296.1206055
31.07.2015 09:48:27	296.1303711
31.07.2015 09:48:32	296.139679
31.07.2015 09:48:36	296.1486511
31.07.2015 09:48:41	296.1572266
31.07.2015 09:48:47	296.1654968
31.07.2015 09:48:51	296.1734619
31.07.2015 09:48:56	296.1810303
31.07.2015 09:49:02	296.1885681
31.07.2015 09:49:07	296.1956482
31.07.2015 09:49:11	296.2026978
31.07.2015 09:49:16	296.2093506
31.07.2015 09:49:22	296.2160034
31.07.2015 09:49:27	296.222229
31.07.2015 09:49:31	296.2285156
31.07.2015 09:49:36	296.2344055
31.07.2015 09:49:42	296.2403564
31.07.2015 09:49:46	296.2459412
31.07.2015 09:49:51	296.2515869
31.07.2015 09:49:57	296.2568665
31.07.2015 09:50:02	296.2622986
31.07.2015 09:50:06	296.2673035
31.07.2015 09:50:11	296.2724915
31.07.2015 09:50:17	296.2774048
31.07.2015 09:50:26	296.2868347
31.07.2015 09:50:37	296.2958984
31.07.2015 09:50:46	296.3045959
31.07.2015 09:50:57	296.3129883
31.07.2015 09:51:06	296.3210754
31.07.2015 09:51:17	296.3288574
31.07.2015 09:51:27	296.3363953
31.07.2015 09:51:36	296.3437195
31.07.2015 09:51:47	296.350769
31.07.2015 09:51:56	296.3576355
31.07.2015 09:52:07	296.3642883
31.07.2015 09:52:16	296.3707581
31.07.2015 09:52:27	296.3770447
31.07.2015 09:52:36	296.3831787
31.07.2015 09:52:47	296.3891296
31.07.2015 09:52:56	296.3949585
31.07.2015 09:53:07	296.4006042
31.07.2015 09:53:17	296.4061279
31.07.2015 09:53:26	296.4115295
31.07.2015 09:53:37	296.4168091
31.07.2015 09:53:46	296.4219666
31.07.2015 09:53:57	296.4270325
31.07.2015 09:54:12	296.4343567
31.07.2015 09:54:26	296.4414673
31.07.2015 09:54:41	296.4483643
31.07.2015 09:54:56	296.4550781
31.07.2015 09:55:12	296.4615784
31.07.2015 09:55:27	296.467926
31.07.2015 09:55:41	296.4740906
31.07.2015 09:55:56	296.4801025
31.07.2015 09:56:11	296.4859619
31.07.2015 09:56:27	296.4916992
31.07.2015 09:56:42	296.4972839
31.07.2015 09:56:57	296.5027466
31.07.2015 09:57:11	296.5080872
31.07.2015 09:57:26	296.5133057
31.07.2015 09:57:41	296.5184021
31.07.2015 09:58:01	296.5249939
31.07.2015 09:58:21	296.5314331
31.07.2015 09:58:41	296.5376892
31.07.2015 09:59:01	296.5437927
31.07.2015 09:59:22	296.5497437
31.07.2015 09:59:42	296.555542
31.07.2015 10:00:02	296.5611877
31.07.2015 10:00:22	296.5667114
31.07.2015 10:00:42	296.572113
31.07.2015 10:01:01	296.5773621
31.07.2015 10:01:21	296.5825195
31.07.2015 10:01:46	296.5888062
31.07.2015 10:02:12	296.5949097
31.07.2015 10:02:36	296.6008606
31.07.2015 10:03:02	296.6066589
31.07.2015 10:03:27	296.6123047
31.07.2015 10:03:51	296.6178284
31.07.2015 10:04:17	296.62323
31.07.2015 10:04:41	296.628479
31.07.2015 10:05:12	296.634613
31.07.2015 10:05:41	296.6405945
31.07.2015 10:06:11	296.6464233
31.07.2015 10:06:42	296.6520996
31.07.2015 10:07:11	296.6576538
31.07.2015 10:07:42	296.6630554
31.07.2015 10:08:12	296.6683044
31.07.2015 10:08:41	296.6734619
31.07.2015 10:09:16	296.6793213
31.07.2015 10:09:51	296.6849976
31.07.2015 10:10:26	296.6905518
31.07.2015 10:11:02	296.6959534
31.07.2015 10:11:37	296.7012329
31.07.2015 10:12:12	296.7063599
31.07.2015 10:12:52	296.7120972
31.07.2015 10:13:31	296.7176514
31.07.2015 10:14:11	296.7230835
31.07.2015 10:14:52	296.7283936
31.07.2015 10:15:32	296.733551
31.07.2015 10:16:16	296.7391663
31.07.2015 10:17:02	296.7446594
31.07.2015 10:17:46	296.7500305
31.07.2015 10:18:32	296.7552185
31.07.2015 10:19:16	296.7603149
31.07.2015 10:20:07	296.7657776
31.07.2015 10:20:57	296.7711182
31.07.2015 10:21:46	296.7763367
31.07.2015 10:22:36	296.7813721
31.07.2015 10:23:27	296.7863159
31.07.2015 10:24:22	296.7915955
31.07.2015 10:25:17	296.7967224
31.07.2015 10:26:12	296.8017273
31.07.2015 10:27:07	296.8066101
31.07.2015 10:28:06	296.8117981
31.07.2015 10:29:06	296.8168335
31.07.2015 10:30:07	296.8217163
31.07.2015 10:31:11	296.8268738
31.07.2015 10:32:17	296.8319092
31.07.2015 10:33:21	296.836792
31.07.2015 10:34:27	296.8415527
31.07.2015 10:35:37	296.8465271
31.07.2015 10:36:47	296.8513794
31.07.2015 10:37:56	296.8561096
31.07.2015 10:39:12	296.8610229
31.07.2015 10:40:27	296.8658142
31.07.2015 10:41:42	296.8704834
31.07.2015 10:43:01	296.8753052
31.07.2015 10:44:22	296.8800354
31.07.2015 10:45:42	296.884613
31.07.2015 10:47:07	296.8893433
31.07.2015 10:48:31	296.8939209
31.07.2015 10:50:01	296.8986816
31.07.2015 10:51:31	296.9032898
31.07.2015 10:53:01	296.9077759
31.07.2015 10:54:36	296.912384
31.07.2015 10:56:11	296.9168701
31.07.2015 10:57:52	296.9214783
31.07.2015 10:59:31	296.9259949
31.07.2015 11:01:16	296.930542
31.07.2015 11:03:02	296.934967
31.07.2015 11:04:52	296.9394836
31.07.2015 11:06:41	296.9439087
31.07.2015 11:08:36	296.9483643
31.07.2015 11:10:32	296.9527283
31.07.2015 11:12:31	296.9571533
31.07.2015 11:14:32	296.9614563
31.07.2015 11:16:37	296.9658203
31.07.2015 11:18:41	296.9700623
31.07.2015 11:20:52	296.9743652
31.07.2015 11:23:07	296.9787292
31.07.2015 11:25:21	296.9829407
31.07.2015 11:27:41	296.9872131
31.07.2015 11:30:02	296.9913635
31.07.2015 11:32:27	296.9955444
31.07.2015 11:34:57	296.9997559
31.07.2015 11:37:26	297.0038757
31.07.2015 11:40:02	297.0079956
31.07.2015 11:42:41	297.012146
31.07.2015 11:45:26	297.0163269
31.07.2015 11:48:11	297.0203552
